id,dealership,dealership_name,administrator,action
1,Wordify,Snaptags,Kass,true
2,Jaxspan,Vipe,Moria,false
3,Jabbercube,Einti,Pearla,false
4,Quatz,Gigabox,Jeanne,false
5,Browsedrive,Ainyx,Merrel,true
6,Jabbersphere,Pixonyx,Flynn,true
7,Realcube,BlogXS,Rollin,false
8,Blogspan,Quimm,Melitta,false
9,Pixope,DabZ,Aylmer,true
10,Feedspan,Jabberstorm,Jemmie,false
11,Rhynyx,Dabvine,Keelby,false
12,Izio,Fliptune,Lenore,false
13,Rooxo,Pixoboo,Kizzee,false
14,Twinte,Jabberstorm,Maighdiln,false
15,Rhyzio,Gabvine,Sandy,true
16,Browsebug,Kayveo,Irena,true
17,Jaxbean,Jaxspan,Baxie,false
18,Yacero,Photofeed,Levey,true
19,Livetube,Devpulse,Gerrard,true
20,Dazzlesphere,Linkbuzz,Valentijn,true
21,Skiptube,Tagfeed,Bailey,false
22,Lajo,Dabshots,Beth,false
23,Blognation,Edgeify,Viviene,true
24,LiveZ,Youopia,Una,false
25,Youspan,Dynava,Noni,false
26,Shufflebeat,Feednation,Nikki,false
27,Skilith,Quatz,Fraze,true
28,Jaxbean,Meejo,Auberon,false
29,Twitterwire,Wikizz,Lucias,false
30,Kamba,Photofeed,Gwendolin,false
31,Flipopia,Livepath,Jillayne,true
32,Centidel,Skyndu,Gavan,false
33,Skimia,Thoughtblab,Moria,false
34,Zoovu,Cogilith,Abeu,false
35,Shuffledrive,Trunyx,Constantia,false
36,Kazu,Agimba,Lida,false
37,Linkbridge,Yambee,Aloysia,true
38,Brightdog,Brainbox,Anna,true
39,Youbridge,Oyope,Shoshana,true
40,Skipfire,Voomm,Carr,true
41,Kaymbo,Twitterbridge,Cherry,true
42,Gigashots,Dynazzy,Ilsa,true
43,Feedspan,Photobug,Jania,false
44,Zoomlounge,Rooxo,Simonne,false
45,Quaxo,Devify,Shae,false
46,Topdrive,Skyba,Conney,true
47,DabZ,Edgepulse,Debby,true
48,Voonix,Babbleblab,Delia,true
49,Oyoyo,Kanoodle,Mirna,false
50,Avavee,Jabbersphere,Thornton,true
51,Aimbo,Topicstorm,Donnie,true
52,Dynabox,Jayo,Josias,true
53,Quinu,Browseblab,Rickie,true
54,Nlounge,Rhybox,Karolina,true
55,Viva,Mybuzz,Benny,false
56,Roomm,Voonder,Gunar,false
57,Quinu,Skyndu,Ruthie,false
58,Quatz,Devcast,Lenore,false
59,Feedmix,Buzzster,Gnni,true
60,Kazio,Feednation,Angel,false
